opName	category	safetyStatus	recipeLines	vbaFunction	requiredParams	optionalParams	createsElements	ownElementOnly	sourceRefs	addedDate	promotedDate	notes
ACTIVE_LEVEL	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE LEVEL {level}		level		N	N	WZTCBridge.ExecPlaceCell;WZTCExec.ExecPlaceSign	2026-07-31	2026-07-31	Settings-only. Proven via SendKeyin ACTIVE LEVEL across M1-M5 draw ops.
ACTIVE_COLOR	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE COLOR {color}		color		N	N	WZTCBridge.ExecPlaceCell;WZTCExec.ExecPlaceSign	2026-07-31	2026-07-31	Settings-only. color is a MicroStation color index integer.
ACTIVE_WEIGHT	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE WEIGHT {weight}		weight		N	N	WZTCBridge.ExecPlaceCell;WZTCExec.ExecPlaceSign	2026-07-31	2026-07-31	Settings-only.
ACTIVE_ANGLE	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE ANGLE {angleDeg}		angleDeg		N	N	WZTCBridge.ExecPlaceCell;WZTCExec.ExecPlaceSign	2026-07-31	2026-07-31	Settings-only. angleDeg in degrees.
ACTIVE_SCALE	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE SCALE {scale}		scale		N	N	live COM probe 2026-07-31 (ACTIVE SCALE 1, 0.016s)	2026-07-31	2026-07-31	Settings-only. Uniform active scale.
ACS_SET_WORLD	keyin_recipe	verified-headless-safe	KEYIN:ACS SET WORLD			N	N	WZTCExec.ExecPlaceSign;DrawSign.DrawSignAtPerpLine	2026-07-31	2026-07-31	Settings-only. No params.	
LOCK_ROTATION_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK ROTATION OFF			N	N	WZTCExec.ExecPlaceSign;DrawSign.DrawSignAtPerpLine	2026-07-31	2026-07-31	Settings-only. No params.	
LOCK_SNAP_PERPENDICULAR	keyin_recipe	verified-headless-safe	KEYIN:LOCK SNAP PERPENDICULAR			N	N	LegacyPrototype.bas;LegacySignPlace.bas (SendCommand LOCK SNAP PERPENDICULAR)	2026-07-31	2026-07-31	Settings-only. Legacy uses SendCommand; KEYIN form used here so the close-out guard does not require a datapoint.	
LOCK_SNAP_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK SNAP OFF			N	N	live COM probe 2026-07-31 (0.020s)	2026-07-31	2026-07-31	Settings-only. Disables snap lock.	
LOCK_GRID_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK GRID OFF			N	N	live COM probe 2026-07-31 (0.015s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_AXIS_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK AXIS OFF			N	N	live COM probe 2026-07-31 (0.015s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_UNIT_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK UNIT OFF			N	N	live COM probe 2026-07-31 (0.017s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_LEVEL_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK LEVEL OFF			N	N	live COM probe 2026-07-31 (0.015s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_GRAPHICGROUP_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK GRAPHICGROUP OFF			N	N	live COM probe 2026-07-31 (0.015s)	2026-07-31	2026-07-31	Settings-only.	
SET_FILL_OFF	keyin_recipe	unsafe-blocked	KEYIN:SET FILL OFF			N	N	live COM probe 2026-07-31 (0.071s)	2026-07-31	2026-07-31		false-OK audit 2026-08-02: ARMED — left CommandName='Fill Display Off' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
ATTACH_LIBRARY	keyin_recipe	verified-headless-safe	KEYIN:ATTACH LIBRARY {libPath}		libPath		N	N	WZTCBridge.ExecPlaceCell;WZTCExec.ExecPlaceSign	2026-07-31	2026-07-31	Settings-only. Uses KEYIN (not COMMAND) so the close-out guard does not apply — ATTACH LIBRARY needs no datapoint.
VIEW_FIT_EXTENDED	keyin_recipe	unsafe-blocked	KEYIN:FIT VIEW EXTENDED			N	N	live COM probe 2026-07-31 (0.166s); was VIEW_FIT_ACTIVE needs-testing	2026-07-31	2026-07-31		false-OK audit 2026-08-02: ARMED — left CommandName='Fit View' prompt='Select view to fit' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
VIEW_FIT	keyin_recipe	verified-headless-safe	KEYIN:FIT VIEW			N	N	live COM probe 2026-07-31 (0.014s)	2026-07-31	2026-07-31	View-only.	
