opName	keyin	kind	requiredParams	source	notes
DISPLAYSET_ON	DISPLAYSET ON	settings		wave8 seed	sparse displayset
DISPLAYSET_OFF	DISPLAYSET OFF	settings		wave8 seed	sparse displayset
DISPLAYSET_ADD	DISPLAYSET ADD	settings		wave8 seed	may need selection; probe OK vs hang
DISPLAYSET_REMOVE	DISPLAYSET REMOVE	settings		wave8 seed	
DISPLAYSET_CLEAR	DISPLAYSET CLEAR	settings		wave8 seed	
DISPLAYSET_INVERT	DISPLAYSET INVERT	settings		wave8 seed	
NAMED_GROUP_DISPLAY_ON	NAMED GROUP DISPLAY ON	settings		wave8 seed	
NAMED_GROUP_DISPLAY_OFF	NAMED GROUP DISPLAY OFF	settings		wave8 seed	
NAMED_GROUP_HILITE_ON	NAMED GROUP HILITE ON	settings		wave8 seed	
NAMED_GROUP_HILITE_OFF	NAMED GROUP HILITE OFF	settings		wave8 seed	
ELEMENT_TEMPLATE_ACTIVE_BYLEVEL	ELEMENT TEMPLATE ACTIVE BYLEVEL	settings		wave8 seed	element templates sparse
ELEMENT_TEMPLATE_ACTIVE_BYCOLOR	ELEMENT TEMPLATE ACTIVE BYCOLOR	settings		wave8 seed	
ELEMENT_TEMPLATE_ACTIVE_BYWEIGHT	ELEMENT TEMPLATE ACTIVE BYWEIGHT	settings		wave8 seed	
ELEMENT_TEMPLATE_ACTIVE_BYSTYLE	ELEMENT TEMPLATE ACTIVE BYSTYLE	settings		wave8 seed	
ELEMENT_TEMPLATE_ACTIVE_BYCLASS	ELEMENT TEMPLATE ACTIVE BYCLASS	settings		wave8 seed	
ELEMENT_TEMPLATE_ACTIVE_BYTRANSPARENCY	ELEMENT TEMPLATE ACTIVE BYTRANSPARENCY	settings		wave8 seed	
ELEMENT_TEMPLATE_ACTIVE_BYPRIORITY	ELEMENT TEMPLATE ACTIVE BYPRIORITY	settings		wave8 seed	
SET_ELEMENT_TEMPLATE_ON	SET ELEMENT TEMPLATE ON	settings		wave8 seed	
SET_ELEMENT_TEMPLATE_OFF	SET ELEMENT TEMPLATE OFF	settings		wave8 seed	
DWG_SAVE_ON	DWG SAVE ON	settings		wave8 seed	DWG settings sparse
DWG_SAVE_OFF	DWG SAVE OFF	settings		wave8 seed	
DWG_WORKMODE_ON	DWG WORKMODE ON	settings		wave8 seed	
