opName	keyin	kind	requiredParams	source	notes
DWG_SETTINGS_OPEN	DWG SETTINGS OPEN	dialog		wave8 dwg/pw/ifc	Bentley Help: Open DWG Settings File dialog; optional filename
DWG_SETTINGS_SAVEAS	DWG SETTINGS SAVEAS	dialog		wave8 dwg/pw/ifc	Bentley Help: save DWG options to .dws; optional FILENAME
DWG_UNITS	DWG UNITS	dialog		wave8 dwg/pw/ifc	Bentley Communities KB: Design Center units for open DWG
DWG_WORKMODE_ON	DWG WORKMODE ON	settings		wave8 dwg/pw/ifc	uncertain; usually MS_WORKMODE=DWG
DWG_WORKMODE_OFF	DWG WORKMODE OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_AXISLOCK_FROM_ORTHOMODE_ON	SET DWG AXISLOCK FROM ORTHOMODE ON	settings		wave8 dwg/pw/ifc	uncertain; MS_DWG_AXISLOCK_FROM_ORTHOMODE
SET_DWG_AXISLOCK_FROM_ORTHOMODE_OFF	SET DWG AXISLOCK FROM ORTHOMODE OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_DISCARD_INVALID_ON	SET DWG DISCARD INVALID ON	settings		wave8 dwg/pw/ifc	uncertain; MS_DWG_DISCARD_INVALID
SET_DWG_DISCARD_INVALID_OFF	SET DWG DISCARD INVALID OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_ATTRIBUTE_AS_TAG_ON	SET DWG ATTRIBUTE AS TAG ON	settings		wave8 dwg/pw/ifc	uncertain; MS_DWG_ATTRIBUTE_AS_TAG
SET_DWG_ATTRIBUTE_AS_TAG_OFF	SET DWG ATTRIBUTE AS TAG OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_GRAPHIC_GROUP_ATTRIBUTES_ON	SET DWG GRAPHIC GROUP ATTRIBUTES ON	settings		wave8 dwg/pw/ifc	uncertain; MS_DWG_GRAPHIC_GROUP_ATTRIBUTES
SET_DWG_GRAPHIC_GROUP_ATTRIBUTES_OFF	SET DWG GRAPHIC GROUP ATTRIBUTES OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_MAP_XREF_NAMES_ON	SET DWG MAP XREF NAMES ON	settings		wave8 dwg/pw/ifc	uncertain; Map Logical Names to XRef Block Names
SET_DWG_MAP_XREF_NAMES_OFF	SET DWG MAP XREF NAMES OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_SEED_GLOBAL_ORIGIN_ON	SET DWG SEED GLOBAL ORIGIN ON	settings		wave8 dwg/pw/ifc	uncertain; Use Seed File Global Origin
SET_DWG_SEED_GLOBAL_ORIGIN_OFF	SET DWG SEED GLOBAL ORIGIN OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_REFERENCE_CONVERT_ON	SET DWG REFERENCE CONVERT ON	settings		wave8 dwg/pw/ifc	uncertain; MS_DWG_REFERENCE_CONVERT
SET_DWG_REFERENCE_CONVERT_OFF	SET DWG REFERENCE CONVERT OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_PRESERVE_SETTINGS_ON	SET DWG PRESERVE SETTINGS ON	settings		wave8 dwg/pw/ifc	uncertain; Preserve MicroStation Settings
SET_DWG_PRESERVE_SETTINGS_OFF	SET DWG PRESERVE SETTINGS OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_LEVEL_OVERRIDES_ON	SET DWG LEVEL OVERRIDES ON	settings		wave8 dwg/pw/ifc	uncertain; Use Level Symbology Overrides
SET_DWG_LEVEL_OVERRIDES_OFF	SET DWG LEVEL OVERRIDES OFF	settings		wave8 dwg/pw/ifc	uncertain
SET_DWG_DROP_LINESTYLES_ON	SET DWG DROP LINESTYLES ON	settings		wave8 dwg/pw/ifc	uncertain; Drop Unsupported LineStyles
SET_DWG_DROP_LINESTYLES_OFF	SET DWG DROP LINESTYLES OFF	settings		wave8 dwg/pw/ifc	uncertain
