sheetNum	title	roadType	duration	signs	elements	notes
619-001	Temporary Positive Barrier (6 Sheets)	All Roadways	All Durations		Barrier	Book 3 p.3-9; detail/legend sheet
619-002	Type III Construction Barricades (2 Sheets)	All Roadways	All Durations		ChannelizingDevices	Book 3 p.10-11
619-004	Portable Temporary Wooden Sign Support	All Roadways	All Durations			Book 3 p.12
619-005	Details on Placement of Portable Temporary Rumble Strips	All Roadways	All Durations	G20-2|NYW4-17|W20-1|W20-4|W20-5L|W20-5R|W20-7|W4-2L|W4-2R	RumbleStrips	Tables 005-01,005-02; Book 3 p.13
619-006	Speed Feedback in Work Zones	All Roadways	All Durations			Tables 006-01,006-02; Book 3 p.14
619-010	Work Zone Traffic Control General Notes	All Roadways	All Durations	NYR9-11|NYR9-12	ChannelizingDevices|Barrier	Book 3 p.15-16
619-011	Work Zone Traffic Control General Tables and Legend	All Roadways	All Durations		ChannelizingDevices|ProtectiveVehicle|ArrowPanel|MergingTaper|DownstreamTaper|ShoulderTaper	Tables 011-01..011-07; Book 3 p.17-18
619-012	Work Zone Traffic Control Sign Table	All Roadways	All Durations			Sign size catalog Book 3 p.19-21. Not a placement typical; signs col empty on purpose.
619-021	Work Beyond Shoulder - Non-Freeway Mowing	Non-Freeway	Mowing	W21-8	ProtectiveVehicle	Tables 021-01,021-02; Book 3 p.22
619-022	Shoulder Encroachment - Non-Freeway Mowing	Non-Freeway	Mowing	W21-8|W8-23	ProtectiveVehicle|ArrowPanel	Tables 022-01,022-02,022-03; Book 3 p.23
619-023	Lane Closure/Encroachment - Two-Lane Mowing (2 Sheets)	Two-Lane Two-Way	Mowing	NYW23-1|NYW8-32|NYW8-35|W21-8|W23-1	ProtectiveVehicle|ArrowPanel	Tables 023-01,023-02,023-03; Book 3 p.24
619-031	Work Beyond Shoulder - Freeway Mowing	Freeway	Mowing	W20-1|W8-23	ProtectiveVehicle|ArrowPanel	Tables 031-01,031-02,031-03; Book 3 p.28
619-032	Shoulder Encroachment - Freeway Mowing	Freeway	Mowing	NYW23-1|NYW8-32|NYW8-35|W23-1	ProtectiveVehicle|ArrowPanel	Tables 032-01,032-02,032-03; Book 3 p.29
619-033	Lane Encroachment - Freeway Mowing	Freeway	Mowing	W20-1|W8-23	ProtectiveVehicle|ArrowPanel	Tables 033-01,033-02,033-03; Book 3 p.30
619-041	Lane Closure/Encroachment - Parkway Mowing	Parkway	Mowing	W8-23	ProtectiveVehicle|ArrowPanel	Tables 041-01,041-02,041-03; Book 3 p.32
619-050	Lane Closure/Encroachment - Two-Lane Mulching/Herbicide	Two-Lane Two-Way	Mulching/Herbicide			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-051	Lane Encroachment or Shoulder Closure - Freeway Mulching/Herbicide	Freeway	Mulching/Herbicide			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-060	Lane Closure - Two-Lane Pavement Marking (2 Sheets)	Two-Lane Two-Way	Pavement Marking	NYW23-1|NYW8-30|NYW8-31|NYW8-32|W23-1|W3-4	ProtectiveVehicle|ArrowPanel	Tables 060-01,060-02,060-03,060-04; Book 3 p.40-41
619-080	Work Beyond Shoulder - All Roadways	All Roadways	All Durations	G20-1|G20-2|W20-1		Tables 080-01,080-02; Book 3 p.42
619-090	Temporary Road Closure - Two-Lane Two-Way	Two-Lane Two-Way	Temporary Closure	W20-1|W20-7|W3-4	Flagger	Tables 090-01,090-02,090-03; Book 3 p.43
619-091	Temporary Intersection Closure - Two-Lane Two-Way	Two-Lane Two-Way	Temporary Closure	W20-1|W20-7|W3-4	Flagger	Tables 091-01,091-02,091-03; Book 3 p.44
619-101	Right Shoulder Closure - Non-Freeway Stop and Go	Non-Freeway	Stop and Go			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-102	Lane Closure - Non-Freeway Stop and Go	Non-Freeway	Stop and Go			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-103	Left Lane and Shoulder Closure - Freeway Stop and Go	Freeway	Stop and Go			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-104	Left Two Lane and Shoulder Closure - Freeway Stop and Go	Freeway	Stop and Go			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-110	Lane Encroachment/Shoulder Closure - Freeway Mobile (2 Sheets)	Freeway	Mobile	W8-23	ProtectiveVehicle|ArrowPanel	Tables 110-01,110-02,110-03; Book 3 p.45
619-111	Right Lane Closure - Freeway Mobile (2 Sheets)	Freeway	Mobile	NYW8-33|W20-5R|W4-2R	ProtectiveVehicle|ArrowPanel	Tables 111-01..111-06; Book 3 p.46-47
